[Sun Nov 26 11:26:31.597728 2017] [:error] [pid 3543] [client 123.49.46.144:39937] PHP Notice:  Undefined index: language in /var/www/tawhid/system/Controller.php on line 3
[Sun Nov 26 11:26:31.597850 2017] [:error] [pid 3543] [client 123.49.46.144:39937] PHP Warning:  include(lang/.php): failed to open stream: No such file or directory in /var/www/tawhid/system/Controller.php on line 3
[Sun Nov 26 11:26:31.597869 2017] [:error] [pid 3543] [client 123.49.46.144:39937] PHP Warning:  include(): Failed opening 'lang/.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/tawhid/system/Controller.php on line 3
[Sun Nov 26 11:26:31.865419 2017] [:error] [pid 3543] [client 123.49.46.144:39937] PHP Notice:  Undefined index: data in /var/www/tawhid/system/Controller.php on line 3
[Sun Nov 26 11:26:31.865508 2017] [:error] [pid 3543] [client 123.49.46.144:39937] PHP Warning:  include(lang/.php): failed to open stream: No such file or directory in /var/www/tawhid/system/Controller.php on line 3
[Sun Nov 26 11:26:31.865525 2017] [:error] [pid 3543] [client 123.49.46.144:39937] PHP Warning:  include(): Failed opening 'lang/.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/tawhid/system/Controller.php on line 3
[Sun Nov 26 11:26:38.334567 2017] [:error] [pid 3535] [client 123.49.46.144:40039] PHP Notice:  Undefined index: data in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/
[Sun Nov 26 11:26:38.334673 2017] [:error] [pid 3535] [client 123.49.46.144:40039] PHP Warning:  include(lang/.php): failed to open stream: No such file or directory in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/
[Sun Nov 26 11:26:38.334698 2017] [:error] [pid 3535] [client 123.49.46.144:40039] PHP Warning:  include(): Failed opening 'lang/.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/
[Sun Nov 26 11:26:38.629645 2017] [:error] [pid 3535] [client 123.49.46.144:40039] PHP Notice:  Undefined index: language in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/
[Sun Nov 26 11:26:38.629733 2017] [:error] [pid 3535] [client 123.49.46.144:40039] PHP Warning:  include(lang/.php): failed to open stream: No such file or directory in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/
